GO:0030659;GO:0012506;GO:0044433	GO:0070013;GO:0043233;GO:0031974	GO:0005730	GO:0005794	GO:0005911;GO:0030054	GO:0005615	GO:0005811	GO:1902494	GO:0031988;GO:0031982	GO:0044456	GO:0044430	GO:0005622	GO:0045211;GO:0097060	GO:0016607;GO:0016604	GO:0005875	GO:0044440;GO:0010008	GO:0043005	GO:0044445	GO:0044449	GO:0009506	GO:0042470;GO:0048770	GO:0042995	GO:0045121	GO:1902495;GO:1990351	GO:0044441	GO:0070062;GO:0065010;GO:0043230	GO:0044431;GO:0000139	GO:0005840	GO:0005874	GO:0009570;GO:0009532	GO:0005871	GO:0005743;GO:0019866	GO:0005887	GO:0005768	GO:0005654	GO:0031461	GO:0005681	GO:0016324	GO:0005789	GO:0005929	GO:0044463	GO:0030427	GO:0016323;GO:0042383	GO:0098590	GO:0044450	GO:0030424	GO:0009507;GO:0009536	GO:0031970	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	GO:0005759	GO:0044459	GO:0048471	GO:0030532	GO:0005819	GO:0005773	GO:0016282;GO:0070993;GO:0033290;GO:0005852	GO:0031967;GO:0031975	GO:0031969;GO:0042170	GO:0032993	GO:0044429	GO:0098588	GO:0071013	GO:0005802	GO:0005576	GO:0005635	GO:0005618;GO:0030312	GO:0044454	GO:0005856	GO:1990234	GO:0033177	GO:0005694	GO:0044427	GO:0044421	GO:0005813;GO:0005815	GO:0009941;GO:0009526	GO:0009521;GO:0030076;GO:0009523	GO:0016023;GO:0031410	GO:0031966	GO:0000151	GO:0005783	GO:0005764;GO:0000323	GO:0098589	GO:0005739	GO:0000502	GO:0031253	GO:0097458	GO:0043025;GO:0044297	GO:0034081	GO:0045335;GO:0030139	GO:0030141	GO:0031965	GO:0009986	GO:0030529	GO:0031514	GO:0044451	GO:0044434;GO:0044435	GO:0044391	GO:0044432	GO:0030496	GO:0005788	GO:0005774;GO:0044437	GO:0000785
1.000	1.000	0.800	0.600	1.000	0.600	1.000	1.000	0.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	0	0.400	1.000	1.000	1.000	0.200	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	0.400	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.800	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.600	1.000	0.800	1.000	0.800	0.600	0.600	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.952	1.000	0.828	0.800	0.933	1.000	0.964	0.793	0.545	0.586	0.667	0.429	1.000	0.750	1.000	0.000	1.000	0.400	1.000	0.400	0	0.400	0.800	0.857	0.828	0.846	1.000	0.765	1.000	0.800	1.000	0.700	1.000	1.000	1.000	1.000	0.200	0.938	0.000	0.450	0.500	0.167	0.333	0.500	0.000	1.000	0.800	1.000	1.000	0.724	0.750	1.000	0.875	0.926	1.000	0.938	1.000	1.000	0.966	0.897	1.000	0.800	0.960	0.875	1.000	0.875	0.562	1.000	1.000	0.818	0.952	0.828	0.688	1.000	1.000	0.783	0.941	1.000	0.897	0.882	0.720	1.000	1.000	0.333	0.381	0.500	1.000	1.000	0.500	0.667	0.875	1.000	0.000	1.000	1.000	1.000	0.963	0.714	1.000	1.000	0.889
1.000	1.000	1.000	0.800	0.400	0.800	1.000	1.000	0.800	0.200	0.600	0.600	0.400	0.800	1.000	1.000	0.400	1.000	0.600	1.000	1.000	0.400	0	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0.600	1.000	0.600	0.600	1.000	0.800	1.000	1.000	1.000	1.000	0.400	0.600	1.000	1.000	0.800	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.400	1.000	1.000	1.000	0.800	0.800	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.800	0.600	1.000	1.000	1.000	0.400	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	0.800	1.000	1.000	0.800	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	0.429	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	0	0.857	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	0.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	0.714	0.857	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	0.667	0.857	0.857	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.750	0.905	0.913	0.765	0.850	0.667	1.000	1.000	0.000	0.909	0.794	1.000	1.000	1.000	0.833	0.889	0.750	1.000	1.000	1.000	0.200	0.828	0.800	1.000	0.857	0	0.923	1.000	0.765	1.000	0.600	1.000	0.900	0.929	0.882	1.000	1.000	0.800	0.938	0.846	0.800	0.667	1.000	0.778	1.000	0.800	1.000	1.000	1.000	1.000	0.875	0.917	1.000	0.875	0.741	0.833	1.000	1.000	1.000	1.000	0.853	1.000	0.800	0.960	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	0.000	0.750	1.000	1.000	0.783	1.000	1.000	0.848	0.588	0.880	0.792	0.400	0.667	0.857	0.625	1.000	1.000	0.667	1.000	0.750	0.971	1.000	1.000	1.000	1.000	0.963	0.857	1.000	0.857	1.000
1.000	1.000	1.000	0.615	1.000	1.000	0.800	0.923	0.846	1.000	0.923	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	0.800	0.846	1.000	1.000	1.000	0.923	0	1.000	1.000	1.000	1.000	1.000	1.000	0.846	1.000	0.800	1.000	1.000	0.846	1.000	0.923	1.000	1.000	1.000	0.833	0.800	1.000	1.000	1.000	1.000	0.923	0.917	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	0.077	1.000	0.600	1.000	0.875	1.000	0.875	1.000	1.000	1.000	1.000	0.923	0.923	1.000	1.000	1.000	0.846	1.000	0.857	0.769	1.000	0.846	1.000	1.000	0.833	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.846	1.000	1.000	1.000	1.000
1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.909	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000
0.750	1.000	0.941	0.824	0.882	1.000	1.000	0.824	0.765	1.000	0.000	1.000	1.000	1.000	0.333	1.000	0.833	1.000	1.000	1.000	1.000	0.765	1.000	1.000	0.714	0.765	1.000	1.000	0	1.000	0.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.846	0.824	0.833	1.000	0.889	0.833	0.600	1.000	1.000	1.000	1.000	0.941	0.917	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.941	1.000	1.000	1.000	1.000	0.933	1.000	0.938	1.000	1.000	1.000	1.000	0.765	0.625	1.000	1.000	1.000	1.000	0.857	0.941	1.000	0.941	0.941	1.000	0.833	0.882	0.875	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000
1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	0.875	1.000	1.000	0.625	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.875	1.000
0.600	1.000	1.000	0.400	0.600	1.000	1.000	1.000	0.600	1.000	0.000	1.000	1.000	1.000	0.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.600	1.000	1.000	0.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	0.600	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.923	1.000	0.923	0.833	1.000	1.000	1.000	1.000	0.923	1.000	0.923	0.857	1.000	0.077	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	0.077	1.000	1.000	1.000	1.000	0.769	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	0.923	1.000
1.000	1.000	1.000	0.900	0.800	1.000	1.000	1.000	0.900	0.800	0.800	0.667	0.714	1.000	1.000	0.889	0.800	1.000	0.600	1.000	1.000	0.700	0.600	1.000	1.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.400	1.000	1.000	0.800	1.000	0.667	0.667	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.700	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.571	1.000	1.000	1.000	1.000	0.643	1.000	1.000	1.000	1.000	1.000	1.000	0.556	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.929	0.846	1.000	1.000	1.000	1.000	1.000	1.000	0	0.929	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.929	1.000	1.000	1.000	0.786	1.000	1.000	1.000	1.000	1.000	0.714	1.000	0.200	0.929	1.000	0.929	1.000	1.000	1.000	1.000	1.000	1.000	0.929	1.000	1.000	1.000	0.714	1.000	1.000	0.786	0.786	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000
1.000	0.941	0.647	0.941	1.000	1.000	0.800	0.941	0.824	1.000	0.941	1.000	1.000	0.750	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.882	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.929	0	1.000	0.824	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.941	1.000	0.800	0.875	0.941	1.000	0.938	1.000	0.800	1.000	1.000	0.917	1.000	1.000	0.875	1.000	1.000	0.938	0.917	1.000	0.909	0.765	0.882	1.000	1.000	1.000	0.941	1.000	1.000	0.941	0.941	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	0.833	1.000	0.824	1.000	0.765	1.000	1.000	1.000	0.857	1.000	0.941	0.778
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	0.800	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.870	0.964	1.000	1.000	0.800	0.893	1.000	1.000	0.964	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.824	1.000	0	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.964	1.000	0.000	0.875	1.000	1.000	0.938	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.875	1.000	1.000	1.000	0.750	1.000	0.909	0.952	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.000	1.000	0.619	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	0.800	0.600	0.600	0.600	0.600	1.000	1.000	1.000	0.600	1.000	0.600	1.000	1.000	0.200	0.600	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.400	1.000	1.000	1.000	1.000	0	1.000	1.000	0.400	1.000	0.400	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.000	1.000	1.000	0.800	0.600	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.875	1.000	1.000	0.800	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	0.938	0.846	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	0.812	1.000	1.000	0.857	1.000	0.938	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	0.938	1.000	0.562	1.000	0.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	0.000	1.000	1.000	0.938	1.000
1.000	1.000	1.000	0.846	1.000	1.000	1.000	0.923	0.846	1.000	0.538	1.000	1.000	1.000	0.917	1.000	0.833	1.000	1.000	1.000	0.600	0.000	1.000	1.000	0.857	0.846	1.000	1.000	0.846	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.769	0.667	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	0.923	1.000	1.000	1.000	1.000	1.000	1.000	0.769	1.000	1.000	0.909	1.000	0.846	0.846	1.000	1.000	0.846	0.923	1.000	1.000	1.000	0.923	1.000	1.000	0.833	0.846	0.750	1.000	1.000	0.667	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.850	0.750	0.933	1.000	1.000	0.800	0.455	0.400	0.667	0.143	1.000	0.917	1.000	0.417	1.000	0.000	1.000	0.400	0.450	0.600	0.800	0.000	0.800	0.923	1.000	0.824	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.400	1.000	0.769	0	0.333	0.167	0.222	0.667	0.800	1.000	1.000	1.000	1.000	0.500	0.667	1.000	0.625	0.950	1.000	1.000	1.000	1.000	1.000	0.850	1.000	0.800	1.000	1.000	1.000	0.875	0.625	1.000	1.000	0.909	0.950	0.750	0.750	1.000	1.000	0.850	1.000	1.000	0.900	0.941	0.650	1.000	1.000	0.000	0.400	0.375	1.000	1.000	0.667	0.833	0.875	1.000	0.875	1.000	1.000	1.000	1.000	0.714	1.000	1.000	0.889
1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.833	0.667	1.000	0.333	1.000	1.000	1.000	0.833	1.000	0.500	1.000	0.800	1.000	0.600	0.500	1.000	1.000	1.000	0.667	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.667	0.333	0	1.000	1.000	0.833	0.800	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.833	0.833	1.000	1.000	1.000	0.667	0.833	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	0.500	1.000	1.000	0.667	1.000	1.000	0.833	1.000	0.833	1.000	1.000	1.000	0.833	1.000	1.000	1.000
1.000	0.833	1.000	0.833	0.500	1.000	1.000	1.000	1.000	0.333	0.667	0.667	0.333	1.000	1.000	1.000	0.333	1.000	0.200	1.000	1.000	0.167	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.400	1.000	1.000	0.167	1.000	0	0.167	1.000	1.000	1.000	0.800	1.000	1.000	0.167	0.667	1.000	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.833	0.167	1.000	1.000	0.667	0.167	1.000	1.000	1.000	1.000	0.667	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.889	0.667	1.000	1.000	1.000	0.778	0.556	0.556	0.667	0.429	1.000	1.000	1.000	0.667	1.000	0.200	1.000	1.000	0.333	0.600	1.000	0.714	0.778	1.000	1.000	0.889	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.000	1.000	0.889	0.222	1.000	0.167	0	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.778	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	0.778	1.000	1.000	1.000	1.000	1.000	1.000	0.556	1.000	1.000	1.000	1.000	0.778	0.889	1.000	1.000	1.000	1.000	1.000	0.667	0.889	0.000	1.000	1.000	0.333	0.556	1.000	1.000	1.000	1.000	0.833	0.875	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.833	1.000	0.000	1.000	1.000	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.833	1.000	0.833	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.833	1.000	1.000	0	0.800	1.000	1.000	1.000	1.000	1.000	0.667	1.000	0.833	1.000	1.000	0.833	1.000	1.000	0.833	0.833	1.000	1.000	1.000	0.833	1.000	0.667	0.833	1.000	1.000	0.833	0.667	1.000	0.500	1.000	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.833	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	0.833
1.000	1.000	1.000	0.600	1.000	0.800	1.000	1.000	0.800	0.800	0.600	1.000	1.000	1.000	0.600	1.000	0.000	1.000	1.000	1.000	1.000	0.000	0.800	1.000	1.000	0.800	0.800	1.000	0.600	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	0.800	1.000	1.000	0.800	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.800	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	0.800	1.000	1.000	0.800	1.000	1.000	0.800	0.800	0.800	1.000	1.000	1.000	0.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.800	1.000	1.000	1.000
1.000	1.000	1.000	0.920	0.950	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	0.500	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	0.840	1.000	1.000	1.000	1.000	1.000	0.880	1.000	0.812	0.857	1.000	1.000	0.960	1.000	1.000	0.960	1.000	0.933	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.625	0.952	1.000	1.000	1.000	1.000	1.000	1.000	0.958	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.880	1.000	1.000	0.680	0.600	1.000	1.000	1.000	0.952	1.000
1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.200	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.840	1.000	0	1.000	0.969	1.000	1.000	1.000	0.926	1.000	0.812	0.857	1.000	1.000	0.977	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	0.625	0.000	1.000	1.000	1.000	0.970	1.000	0.960	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.116	1.000	0.963	1.000	1.000	0.952	1.000
1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.875	0.750	0.933	0.800	0.857	0.844	0.364	0.844	0.667	0.000	1.000	1.000	0.778	0.667	1.000	0.200	1.000	0.800	0.724	0.400	0.000	0.714	0.875	0.923	1.000	0.941	1.000	1.000	1.000	0.000	0.929	0.941	1.000	0.964	0.000	1.000	0.923	0.500	0.833	0.167	0.000	1.000	1.000	1.000	1.000	0.969	1.000	0	0.833	1.000	1.000	0.963	1.000	0.875	1.000	1.000	1.000	0.844	1.000	0.800	1.000	0.875	1.000	1.000	0.688	0.833	1.000	1.000	1.000	0.844	0.938	0.875	1.000	0.913	1.000	1.000	0.875	0.941	0.640	1.000	1.000	0.000	0.714	0.875	1.000	1.000	0.833	0.833	0.875	0.969	0.875	0.952	0.969	1.000	1.000	0.857	1.000	0.952	1.000
0.875	0.917	0.917	0.917	0.750	0.833	0.800	1.000	0.750	0.818	0.583	0.667	0.714	1.000	1.000	1.000	0.833	0.875	0.600	1.000	0.800	0.750	0.600	1.000	0.857	0.917	0.917	1.000	0.917	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0.667	1.000	0.667	0.778	0.667	1.000	1.000	1.000	1.000	1.000	0.833	0	1.000	0.750	0.833	1.000	0.833	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.750	1.000	0.750	0.833	1.000	1.000	0.818	0.833	0.833	0.917	1.000	1.000	0.750	1.000	1.000	0.917	0.917	0.833	0.917	1.000	1.000	0.667	0.875	1.000	0.833	1.000	1.000	1.000	0.917	1.000	1.000	1.000	0.800	0.917	0.857	0.857	0.917	0.889
