	Ssid284.fastq.trim.sam.counts	Ssid401.fastq.trim.sam.counts	Ssid402.fastq.trim.sam.counts	Ssid405.fastq.trim.sam.counts	Ssid409.fastq.trim.sam.counts	Ssid411.fastq.trim.sam.counts	Ssid412.fastq.trim.sam.counts	Ssid413.fastq.trim.sam.counts	Ssid415.fastq.trim.sam.counts	Ssid416.fastq.trim.sam.counts	Ssid417.fastq.trim.sam.counts	Ssid418.fastq.trim.sam.counts	Ssid429.fastq.trim.sam.counts	Ssid430.fastq.trim.sam.counts	Ssid435.fastq.trim.sam.counts	Ssid436.fastq.trim.sam.counts	Ssid438.fastq.trim.sam.counts	Ssid440.fastq.trim.sam.counts	Ssid444.fastq.trim.sam.counts	Ssid445.fastq.trim.sam.counts	Ssid446.fastq.trim.sam.counts	Ssid447.fastq.trim.sam.counts	Ssid450.fastq.trim.sam.counts	Ssid451.fastq.trim.sam.counts	Ssid454.fastq.trim.sam.counts	Ssid455.fastq.trim.sam.counts	Ssid456F.fastq.trim.sam.counts	Ssid457.fastq.trim.sam.counts	Ssid458.fastq.trim.sam.counts	Ssid460.fastq.trim.sam.counts	Ssid461.fastq.trim.sam.counts	Ssid463.fastq.trim.sam.counts	Ssid464.fastq.trim.sam.counts	Ssid467.fastq.trim.sam.counts	Ssid470.fastq.trim.sam.counts	Ssid471.fastq.trim.sam.counts	Ssid472.fastq.trim.sam.counts	Ssid476.fastq.trim.sam.counts	Ssid477.fastq.trim.sam.counts	Ssid495.fastq.trim.sam.counts	Ssid497.fastq.trim.sam.counts	Ssid498.fastq.trim.sam.counts	Ssid499.fastq.trim.sam.counts	Ssid889.fastq.trim.sam.counts	Ssid890.fastq.trim.sam.counts	Ssid891.fastq.trim.sam.counts	Ssid892.fastq.trim.sam.counts	Ssid893.fastq.trim.sam.counts	Ssid919.fastq.trim.sam.counts	Ssid922.fastq.trim.sam.counts	Ssid923.fastq.trim.sam.counts	Ssid924.fastq.trim.sam.counts	Ssid959.fastq.trim.sam.counts	Ssid960.fastq.trim.sam.counts	Ssid961.fastq.trim.sam.counts	Ssid971.fastq.trim.sam.counts	Ssid973.fastq.trim.sam.counts	SsidUNK.fastq.trim.sam.counts	
isogroup102837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroup102923	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup102942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
isogroup102958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	
isogroup103004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
isogroup103031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup103041	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup103043	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup103051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup103052	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup103100	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	
isogroup103217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	
isogroup103352	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	20	0	0	0	0	0	0	0	0	
isogroup103380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
